天数（自2016年001天起算，北京时间）小时 分钟 秒 模板号
255 15 22 51.64 5
255 15 24 12.67 1
255 15 24 36.42 1
255 15 28 4.33 3
255 15 28 53.24 1
255 15 33 15.5 1
255 15 35 5.53 1
255 15 52 17.68 1
255 15 56 55.48 5
255 15 58 30.89 1
255 15 58 59.53 1
255 16 0 13.76 1
255 16 1 32.71 5
255 16 12 35.37 5
255 16 22 14.53 1
255 16 23 41.94 5
255 16 26 5.11 5
255 16 29 47.851 5
255 16 32 40.41 1
255 16 32 57.91 5
255 16 36 29.16 1
255 16 4 34.84 5
255 16 44 41.74 8
255 17 12 35.351 5
255 17 14 44.44 1
255 17 29 25.71 1
255 17 31 14.521 5
255 17 31 51.19 1
255 17 40 24.03 1
255 17 41 46.23 4
255 17 7 21.36 1
255 17 9 36.79 3
255 18 12 46.91 1
255 18 32 50.9 1
255 18 38 59.02 1
255 19 11 26.09 2
255 19 29 25.92 5
255 19 5 7.961 1
255 20 1 49.27 3
255 20 16 36.881 1
255 20 16 40.65 4
255 20 24 48.16 10
255 20 26 14.42 4
255 20 3 54.68 1
255 20 38 1.311 1
255 20 38 8.24 5
255 20 40 50.57 1
255 20 42 24.721 3
255 20 51 11.301 1
255 20 51 26.039 8
255 20 56 2.301 2
255 20 58 23.52 4
255 21 1 56.99 9
255 21 17 13.17 2
255 21 18 3.061 2
255 21 2 7.459 1
255 21 25 24.84 1
255 21 26 53.32 6
255 21 36 45.959 2
255 21 6 11.77 2
255 22 25 24.84 2
255 23 17 35.76 1
255 23 38 53.041 3
255 23 57 56.111 1
256 0 39 26.26 1
256 0 46 57.318 1
256 0 48 44.85 1
256 0 52 39.549 1
256 0 54 14.9 1
256 0 54 55.428 5
256 0 9 38.959 2
256 1 29 33.229 1
256 1 51 24.359 1
256 10 16 21.14 1
256 10 22 38.54 6
256 10 22 5.33 12
256 10 23 31.891 10
256 10 23 57.21 3
256 10 23 59.65 1
256 10 24 41.11 7
256 10 24 5.311 2
256 10 33 14.601 1
256 10 33 54.09 1
256 10 41 21.96 1
256 10 41 29.95 7
256 10 48 5.83 5
256 10 5 24.41 1
256 10 56 51.88 1
256 11 17 35.82 1
256 11 21 51.72 2
256 11 29 28.03 2
256 11 3 31.78 7
256 11 3 41.47 1
256 11 31 21.69 2
256 11 34 41.68 1
256 11 34 52.18 2
256 11 35 38.86 2
256 11 38 32.021 3
256 11 38 43.4 6
256 11 5 22.79 1
256 12 29 17.34 4
256 12 39 51.551 7
256 12 41 32.59 2
256 12 50 53.369 3
256 12 53 59.6 1
256 13 15 44.289 5
256 13 19 14.939 5
256 13 29 58.949 1
256 13 30 20.52 1
256 13 35 13.131 1
256 13 6 29.631 1
256 14 27 20.189 1
256 14 29 54.189 1
256 14 53 29.73 4
256 14 54 37.721 1
256 14 59 18.789 1
256 14 7 52.09 1
256 15 32 27.869 7
256 15 37 11.6 1
256 15 42 39.471 1
256 15 45 54.539 3
256 16 18 12.68 1
256 16 46 40.43 1
256 16 51 49.5 5
256 16 8 55.699 5
256 17 19 54.609 1
256 17 22 46.547 2
256 17 26 20.879 4
256 17 39 28.488 7
256 17 4 0.67 3
256 17 4 33.449 5
256 17 44 5.547 2
256 17 5 2.129 7
256 17 57 9.656 2
256 17 58 2.918 2
256 17 6 25.848 1
256 18 54 24.246 1
256 18 59 21.316 1
256 2 57 35.07 1
256 20 3 41.566 2
256 20 33 25.578 1
256 20 34 42.996 1
256 20 44 45.957 4
256 20 46 19.809 8
256 20 46 38.598 7
256 20 48 3.477 2
256 21 17 2.547 1
256 21 19 38.957 1
256 21 21 13.629 2
256 21 24 45.547 1
256 21 24 52.039 2
256 21 30 38.906 1
256 21 37 12.297 2
256 21 41 52.008 2
256 21 43 13.316 2
256 21 45 40.176 1
256 21 55 22.449 1
256 21 57 7.957 2
256 22 0 23.586 1
256 22 11 0.266 2
256 22 14 49.559 5
256 22 15 27.316 1
256 22 23 8.699 2
256 22 24 10.926 5
256 22 24 13.219 2
256 22 28 32.168 4
256 22 29 3.648 4
256 22 29 35.406 5
256 22 29 39.129 1
256 22 29 57.148 1
256 22 30 35.789 1
256 22 30 8.648 8
256 22 37 12.008 2
256 22 42 8.988 2
256 22 44 39.656 1
256 22 45 45.137 5
256 22 51 16.117 1
256 22 53 22.426 1
256 22 57 42.926 3
256 22 59 11.777 1
256 22 6 17.668 2
256 23 21 12.418 1
256 23 24 9.195 1
256 23 28 28.969 1
256 23 28 8.988 4
256 23 29 14.809 3
256 23 29 18.137 2
256 23 3 11.309 7
256 23 32 16.168 1
256 23 32 59.168 6
256 23 34 25.508 7
256 23 34 54.426 1
256 23 38 4.258 9
256 23 42 7.398 9
256 23 5 26.879 1
256 23 50 41.168 1
256 23 51 16.168 5
256 3 14 23.016 1
256 3 52 50.547 1
256 3 55 52.672 1
256 4 48 40.719 2
256 5 9 0.688 6
256 7 7 52.977 1
256 8 0 41.17 1
256 8 3 57.27 1
256 8 37 22.72 3
256 8 39 56.17 3
256 8 50 37.36 4
256 8 53 26.83 3
256 8 55 8.38 2
256 8 56 48.41 1
256 8 57 38.87 1
256 8 6 54.29 1
256 9 25 18.41 6
256 9 28 58.69 4
256 9 30 52.3 1
256 9 37 5.5 3
256 9 39 44.59 1
256 9 40 13.72 1
256 9 45 16.03 4
256 9 45 59.47 1
256 9 46 54.89 1
256 9 47 11.16 1
256 9 5 3.84 8
256 9 51 56.94 8
256 9 51 59.15 1
256 9 52 20.62 2
256 9 53 24.92 9
256 9 55 6.24 1
256 9 58 2.23 1
256 9 59 44.57 1
257 0 11 7.406 7
257 0 12 7.906 1
257 0 15 9.426 1
257 0 19 44.059 5
257 0 21 6.098 5
257 0 24 37.508 1
257 0 26 34.508 1
257 0 31 14.387 3
257 0 32 53.035 7
257 0 37 28.098 2
257 0 39 57.617 6
257 0 4 16.137 7
257 0 4 22.098 6
257 0 41 38.148 1
257 0 42 43.266 8
257 0 43 55.238 1
257 0 46 27.156 1
257 0 5 37.777 2
